shape_id,shape_pt_sequence,latitude,longitude
22603,33,39.740939,-75.552549
22603,34,39.741687,-75.552063
22603,35,39.742433,-75.551557
22603,36,39.742721,-75.55136
22603,37,39.743159,-75.551058
22603,38,39.743932,-75.550525
22603,39,39.744792,-75.549895
22603,40,39.74517,-75.549635
22603,41,39.746074,-75.549056
22603,42,39.746444,-75.54716
22603,43,39.746444,-75.54716
22603,44,39.74608,-75.54631
22603,45,39.745744,-75.545394
22603,46,39.746593,-75.544809
22603,47,39.747448,-75.544231
22603,48,39.748375,-75.543603
22603,49,39.748932,-75.543228
22603,50,39.749689,-75.543668
22603,51,39.749769,-75.543757
22603,52,39.749837,-75.543811
22603,53,39.749882,-75.54383
22603,54,39.750061,-75.543856
22603,55,39.750061,-75.543856
22603,56,39.750196,-75.543881
22603,57,39.750364,-75.543839
22603,58,39.750451,-75.543816
22603,59,39.750589,-75.543765
22603,60,39.750713,-75.54372
22603,61,39.750788,-75.543701
22603,62,39.751015,-75.543607
22603,63,39.751465,-75.542613
22603,64,39.751781,-75.541873
22603,65,39.751986,-75.5414
22603,66,39.752058,-75.541236
22603,67,39.752233,-75.540839
